names,calorie,total fats,carbs,protein
aszalt szilva konzerv,246,0.5,65.1,2.0
ananász konzerv,28,0.05,7.4,0.2
aszalt szilva konzerv,27,0.075,7.0,0.2
mandarin konzerv,92,0.1,23.8,1.5
gyümölcskoktél konzerv,109,0.053,28.1,1.1
meggy konzerv,189,0.3,48.6,1.9
mangosztán konzerv,143,1.1,35.1,0.8
sárgabaracklé,117,0.07,30.1,1.5
eper konzerv,234,0.7,59.8,1.4
őszibarack konzerv,110,0.094,28.9,1.6
gyümölcssaláta konzerv,125,0.008,32.5,1.3
egres konzerv,184,0.5,47.3,1.6
grapefruit konzerv,88,0.2,22.3,1.4
körte konzerv,38,0.001,9.8,0.3
málna konzerv,233,0.3,59.8,2.1
papaya konzerv,80,0.2,21.8,0.001
szőlő konzerv,98,0.3,25.2,1.2
szárított alma,145,0.2,39.1,0.6
őszibarack szárított,199,0.6,50.8,3.0
útifű chips,150,8.4,18.1,0.6
arany mazsola,498,0.8,131.2,5.6
mazsola magozott,488,0.9,129.5,4.2
zante ribizli szárítva,408,0.4,106.7,5.9
körte szárítva,94,0.2,25.1,0.7
mazsola,90,0.056,23.8,1.0
aszalt szilva szárított,308,0.5,81.5,2.7
áfonya szárítva,370,1.6,98.8,0.053
szárított füge,21,0.008,5.4,0.3
longan szárított,5,0.091,1.3,0.027
banán chips,147,9.5,16.5,0.7
licsi szárítva,7,0.003,1.8,0.01
szárított sárgabarack,17,0.015,4.4,0.2
longan,2,0.076,0.5,0.009
mamey sapote,217,0.8,56.2,2.5
viasztök főtt,19,0.4,4.3,0.7
jackfruit,33,0.2,8.1,0.6
naspolyák,9,0.071,2.4,0.09
mammy alma mamey,431,4.2,105.8,4.2
nance,82,1.3,19.0,0.7
kókusz egész kókusz,3336,71.5,0.0,0.0
fügekaktusz,42,0.5,9.9,0.8
licsi,6,0.016,1.6,0.024
naranjilla lulo pép,30,0.3,7.1,0.5
kókuszhús szárítva,187,18.3,6.7,1.9
viasztök nyersen,17,0.3,4.0,0.5
surinami cseresznye pitanga,2,0.059,0.5,0.045
maracuja,17,0.1,4.2,0.4
sapodilla,141,1.9,33.9,0.7
pummelo,48,0.06,12.0,1.0
kókusz hús,1405,133.0,60.5,13.2
savanyú,149,0.7,37.9,2.3
papaya,62,0.4,15.7,0.7
acerola cseresznye,2,0.052,0.4,0.079
ohelo bogyók,39,0.3,9.6,0.5
loganberry,81,0.5,19.1,2.2
casaba dinnye,48,0.2,11.2,1.9
durian,51,1.9,9.5,0.5
koriander levelek nyersen,4,0.086,0.6,0.3
kerti zsázsa nyersen,3,0.062,0.5,0.2
szárított pasillapaprika,24,1.1,3.6,0.9
szárított petrezselyem,1,0.096,0.3,0.1
ancho paprika szárítva,48,1.4,8.7,2.0
koriander magvak,5,0.3,1.0,0.2
kapor fű szárítva,253,4.4,55.8,20.0
borágó,19,0.6,2.7,1.6
epazote,0,0.06,0.094,0.059
metélőhagyma szárítva,1,0.055,0.1,0.013
kakukkfű friss,1,0.068,0.2,0.091
boglárka,4,0.2,0.5,0.1
wasabi gyökér,142,0.8,30.6,6.2
szárított rozmaring,4,0.2,0.8,0.081
gyömbér gyökér,2,0.028,0.4,0.068
fehér bors,7,0.0,1.6,0.2
szegfűszeg őrölt,6,0.3,1.4,0.1
paprika,19,0.9,3.7,1.0
buzogány föld,25,1.7,2.7,0.4
babérlevél,2,0.042,0.4,0.086
eppaw,150,1.8,31.7,4.6
tárkony szárított,2,0.047,0.3,0.1
őrölt gyömbér,6,0.043,1.3,0.2
zamatos talaj,4,0.029,1.0,0.074
fekete bors,6,0.006,1.5,0.2
fodormenta friss,3,0.089,0.5,0.2
baromfi fűszerezés,14,0.3,2.9,0.4
őrölt szerecsendió,12,0.8,1.1,0.1
curry por,20,0.9,3.7,0.8
borsmenta,1,0.004,0.2,0.038
só,0,0.0,0.0,0.0
korianderlevél szárítva,2,0.098,0.3,0.1
zsálya föld,2,0.046,0.4,0.058
fokhagyma por,10,0.029,2.3,0.5
kaporfű frissen,4,0.063,0.6,0.3
kardamom,6,0.1,1.4,0.2
sáfrány,2,0.092,0.5,0.071
szegfűbors őrölt,5,0.2,1.4,0.1
friss petrezselyem,1,0.078,0.2,0.1
oregánót szárítva,265,4.3,68.9,9.0
majoránna szárított,5,0.1,1.0,0.2
metélőhagyma nyersen,1,0.088,0.1,0.03
tűzfű levelei,24,0.6,4.4,1.1
friss rozmaring,1,0.1,0.1,0.005
fokhagyma,4,0.026,0.9,0.2
fahéj őrölt,6,0.044,2.1,0.1
cseresznye szárított,5,0.002,0.9,0.4
cayenne bors,1,0.094,0.2,0.039
kurkuma őrölt,8,0.2,1.4,0.2
mustár,3,0.2,0.3,0.2
chili por,8,0.4,1.3,0.4
kakukkfű szárított,276,7.4,63.9,9.1
fodormenta szárítva,1,0.018,0.3,0.094
szárított bazsalikom,2,0.027,0.3,0.2
pitypang zöldje főtt,35,0.6,6.7,2.1
friss bazsalikom,2,0.089,0.2,0.2
dokk,29,0.9,4.3,2.7
kerti zsázsa főtt,31,0.8,5.1,2.6
hagyma por,8,0.024,1.9,0.2
pitypang zöldje nyersen,25,0.4,5.1,1.5
yokan,36,0.022,8.5,0.5
fava bab főtt,187,0.7,33.4,12.9
franciabab nyersen,631,3.7,118.0,34.6
konzerv csicseriborsó,352,7.0,57.0,17.8
sárgabab főtt,255,1.9,44.7,16.2
mung bab főtt,212,0.8,38.7,14.2
fehér bab konzerv,299,0.8,55.5,19.0
rózsaszín bab főtt,252,0.8,47.2,15.3
rózsaszín bab nyersen,720,2.4,134.8,44.0
tengerészbab nyersen,701,3.1,126.4,46.4
szemes bab főtt,44,0.4,9.9,2.4
fekete szemű tehénborsó nyersen,131,0.5,27.3,4.3
edamame főtt,189,8.1,13.8,18.5
fekete szemű tehénborsó főtt,160,0.6,33.5,5.2
jácintbab főtt,227,1.1,40.2,15.8
tehénborsó konzerv,185,1.3,32.7,11.4
pinto bab főtt,245,1.1,44.8,15.4
szárnyas bab főtt,253,10.0,25.7,18.3
pinto bab nyersen,670,2.4,120.7,41.3
fekete teknős bab nyersen,624,1.7,116.4,39.1
fava bab nyersen,512,2.3,87.4,39.2
lima bab konzerv,190,0.4,35.9,11.9
jácintbab nyersen,722,3.5,127.6,50.2
fehér bab nyersen,673,1.7,121.7,47.2
szemes bab konzerv,66,0.4,15.4,3.5
tengerészbab konzerv,296,1.1,53.6,19.7
mung bab nyersen,718,2.4,129.6,49.4
adzuki bab nyersen,648,1.0,123.9,39.1
fekete teknősbab főtt,241,0.6,45.0,15.1
rózsaszín lencse nyersen,662,4.2,113.6,47.9
sárgabab nyersen,676,5.1,119.0,43.1
fehér bab főtt,249,0.6,44.9,17.4
lencse nyersen,678,2.0,115.4,49.5
áfonyás bab főtt,241,0.8,43.3,16.5
csicseriborsó nyersen,728,12.1,121.3,38.6
lencse főtt,230,0.8,39.9,17.9
sült bab konzerv,239,0.9,53.7,12.1
áfonyás bab konzerv,216,0.7,39.3,14.4
fekete bab főtt,227,0.9,40.8,15.2
lima bab főtt,216,0.7,39.3,14.7
mungóbab nyersen,706,3.4,122.1,52.2
galambborsó nyersen,703,3.1,128.7,44.5
fava bab konzerv,182,0.6,31.8,14.0
sárga csattanó bab nyersen,31,0.1,7.1,1.8
snap bab nyersen,31,0.2,7.0,1.8
sárga csattanóbab konzerv,36,0.2,8.4,1.9
galambborsó főtt,203,0.6,39.1,11.4
catjang tehénborsó nyersen,573,3.5,99.6,39.8
tengerészbab főtt,255,1.1,47.4,15.0
molybab nyersen,672,3.2,120.6,45.0
tehénborsó főtt,81,0.4,14.5,5.4
molybab főtt,207,1.0,37.1,13.8
franciabab főtt,228,1.3,42.5,12.5
lima bab nyersen,602,1.2,112.8,38.2
szárnyas bab nyersen,744,29.7,75.9,54.0
adzuki bab főtt,294,0.2,57.0,17.3
fekete bab nyersen,662,2.8,121.0,41.9
catjang tehénborsó főtt,200,1.2,34.7,13.9
baby lima bab főtt,189,0.5,35.0,12.0
tehénborsó nyersen,41,0.3,8.9,3.1
shellie bab konzerv,74,0.5,15.2,4.3
yardos bab nyersen,579,2.2,103.4,40.6
pinto bab konzerv,197,1.3,36.4,11.0
csicseriborsó főtt,269,4.2,45.0,14.5
áfonyás bab nyersen,653,2.4,117.1,44.9
mungóbab főtt,189,1.0,33.0,13.6
tamarindok,5,0.013,1.3,0.057
sárga csattanóbab főtt,44,0.4,9.9,2.4
udvaros bab főtt,202,0.8,36.1,14.2
bacon marha steak,146,12.5,0.2,8.2
bárány előcsont nyersen,912,60.7,0.0,85.8
szalonna,106,10.2,0.2,3.3
bárányborda főtt,915,76.0,0.0,53.9
báránycomb nyersen,912,61.2,0.0,84.3
scrapp,60,3.9,4.0,2.3
csirke rögök,61,4.1,3.0,3.2
darált bárány főtt,886,61.5,0.0,77.5
bárányhús főtt,678,45.0,0.0,63.8
húshosszabbító,275,2.6,33.7,33.5
báránycomb nyersen,1043,77.4,0.0,81.2
báránykaraj főtt,202,14.8,0.0,16.1
csirke pogácsa,172,11.7,7.7,8.9
báránycomb sült,605,33.5,0.0,71.0
barbecue cipó,40,2.0,1.5,3.6
bárány hátszín főtt,765,54.2,0.0,64.5
baromfi saláta,26,1.8,1.0,1.5
őrölt bárány nyersen,80,6.6,0.0,4.7
báránykaraj nyersen,88,7.5,0.0,4.6
bárány hátszín nyersen,1234,100.3,0.0,76.8
kolbászpogácsa mcdonalds,115,11.2,0.4,4.3
bárány előcsont főtt,360,19.9,0.0,42.0
sonkasaláta,97,7.0,4.8,3.9
bárányborda nyersen,1687,156.0,0.0,65.9
báránylapocka nyersen,1198,97.3,0.0,75.2
bárányhús nyersen,1102,84.6,0.0,79.6
báránylapocka főtt,750,53.5,0.0,62.5
főtt birkahús,66,3.1,0.027,9.5
báránycomb főtt,684,43.7,0.0,67.7
marha rúd,110,9.9,1.1,4.3
borjúbélszín főtt,517,26.9,0.0,64.1
borjúborda főtt,444,22.2,0.0,57.4
borjúhús főtt,483,23.8,0.0,62.9
marhaborda sült,238,19.1,0.0,15.4
borjú hátszín nyersen,689,35.4,0.0,86.5
marha felső karaj filé grillezve,323,19.0,0.8,37.0
marhahús alatt penge steak főtt,983,46.7,0.0,140.8
mock tender steak nyersen,244,8.3,0.0,42.2
darált marhahús főtt,375,24.8,0.0,35.5
darált marhahús nyersen,1506,136.1,0.0,65.1
marhahús kockára vágott asda,48,0.7,10.5,0.0
borjúborda nyersen,735,40.9,0.0,85.5
darált borjúhús nyersen,41,1.9,0.0,5.5
t csontpecsenye főtt,1049,74.1,0.0,89.3
borjúcomb kerek nyers,531,14.0,0.0,95.2
marha felső bélszín steak nyersen,1222,77.3,0.0,123.4
marha tányér steak grillezett,508,35.6,0.0,47.1
őrölt borjúhús főtt,514,22.6,0.0,72.9
borjúcomb kerek főtt,574,17.2,0.0,98.4
porterhouse steak nyersen,1170,91.1,0.0,81.6
borjú csülök nyersen,513,15.8,0.0,86.9
borjúmell főtt,753,47.5,0.0,76.3
sült marhahús konzerv,53,3.1,0.0,5.7
rib eye steak grillezve,680,47.7,0.0,62.4
borjúlapocka nyersen,0,0.0,0.0,0.0
t csontpecsenye nyersen,1052,76.3,0.0,85.7
hátszín steak,324,14.1,0.0,49.5
gúnyos steak főtt,137,4.9,0.0,21.9
marhahús kerek steak főtt,385,12.1,0.0,64.8
tokmány penge sült nyersen,1125,88.0,0.0,77.8
marha lapocka steak nyersen,349,17.3,0.0,48.2
marha felső penge főtt,184,10.0,0.0,21.9
sült marhahús főtt,53,4.0,0.006,3.8
marha kerek steak nyersen,753,36.0,0.0,100.1
marha lapocka steak grillen,155,5.8,0.0,24.0
chuck eye steak nyersen,856,62.8,0.0,72.4
marha alsó kerek steak főtt,980,35.1,0.0,155.8
porterhouse steak főtt,235,16.4,0.0,20.4
marhahús penge alatti steak nyersen,1235,80.8,0.0,126.8
marha tányér steak nyersen,617,46.8,0.9,47.8
marhahús konzerv,111,7.9,0.0,9.2
marhahús reggeli csíkok nyersen,92,8.8,0.2,2.8
marha szegy főtt,589,43.6,0.0,46.0
nyersen sült marhahús,898,67.6,0.6,66.6
marha darált hús asda,55,3.1,6.8,0.0
pastrami marha zsírmentes,9,0.1,0.1,1.9
rib eye steak nyersen,743,54.5,0.4,62.8
marhabélszín steak főtt,374,24.0,0.0,37.0
tokmány penge sült főtt,842,62.0,0.0,66.1
szárított pácolt marhahús,4,0.019,0.06,0.9
marhaszárny steak főtt,380,17.5,0.0,51.8
chuck eye steak grillezve,853,60.5,0.0,76.9
borjúhús nyersen,653,30.7,0.0,87.8
borjúkaraj főtt,80,4.9,0.0,8.5
borjúkaraj nyersen,46,2.6,0.0,5.3
borjúlapocka főtt,435,19.4,0.0,61.2
marha szűzpecsenye nyersen,405,29.8,0.0,32.2
borjú csülök főtt,371,12.0,0.0,61.2
marha szegy nyersen,1139,86.5,0.0,83.6
pastrami marhahús,104,4.1,0.3,15.5
marhaszárny steak nyersen,47,2.3,0.0,6.0
marha felső bélszín steak főtt,430,25.2,0.0,47.7
borjúmell nyersen,943,66.9,0.0,79.2
marhaborda nyersen,1433,123.8,0.0,73.8
marha rántás,82,5.1,2.2,6.6
marhahús reggeli csíkok főtt,51,3.9,0.2,3.5
sertés olíva cipó,66,4.6,2.6,3.3
marha ebéd hús kocsonyás,31,0.9,0.0,5.3
pulyka pastrami,38,1.8,0.5,4.6
sertésszalámi,41,3.4,0.2,2.3
kanadai stílusú szalonna nyersen,45,2.0,0.5,5.9
mézes cipó,85,3.6,2.6,9.9
sertés marhaszalámi,37,3.1,0.076,2.1
marha sertés bologna,92,7.4,1.6,4.6
sertés marhaszalámi főtt,41,3.2,0.3,2.7
sertés reggeli csíkok nyersen,88,8.4,0.2,2.7
savanyú pimiento cipó,86,6.1,3.2,4.3
luxus cipó,39,1.3,1.4,5.2
mortadella,47,3.8,0.5,2.5
sertés bologna,69,5.6,0.2,4.3
pulykaszalámi főtt,9,0.5,0.081,1.0
pepperoni marhahús,10,0.9,0.0,0.5
borsos cipó,42,1.8,1.3,4.9
ebéd marhahús,10,0.3,0.0,1.8
libanon bologna,98,6.0,0.3,10.8
csirke sertés bologna,94,8.6,1.2,2.9
pulykatekercs,40,1.9,0.6,4.9
marhaszalámi főtt,68,5.8,0.5,3.3
yachtwurst főtt,150,12.7,0.8,8.3
olasz szalámi,43,3.7,0.1,2.2
pulykasonka,38,1.6,0.3,5.5
pulyka bologna,59,4.5,1.3,3.2
szeletelt pulykamell,17,0.6,0.4,2.4
ebéd hús sertés marhahús,99,9.0,0.7,3.5
marhahús bolognai,90,7.8,1.3,3.3
pulyka szalonna főtt,313,22.9,2.5,24.3
őrölt emu főzve,178,5.1,0.0,31.0
strucccomb nyersen,94,1.5,0.0,19.0
strucccsík nyersen,108,2.4,0.0,20.1
emu filé főtt,607,9.1,0.0,123.2
strucc szűzpecsenye nyersen,105,2.7,0.0,18.8
emu dob főtt,649,8.4,0.0,134.7
zöld teknős nyersen,25,0.1,0.0,5.6
őrölt bölény főtt,448,21.6,0.0,63.6
kecskehús nyersen,494,10.5,0.0,93.4
őrölt emu nyersen,157,4.7,0.0,26.6
őrölt strucc nyersen,180,9.5,0.0,22.0
strucchegy főtt,123,2.2,0.0,24.2
karibu főtt,210,6.4,0.0,38.0
őrölt strucc főtt,163,6.6,0.0,24.3
strucccomb főtt,120,1.6,0.0,24.7
strucc felső karaj főtt,132,3.3,0.0,23.9
strucccsík főtt,139,3.6,0.0,25.0
strucchegy nyersen,97,2.0,0.0,18.6
strucc kerek nyers,99,2.0,0.0,18.7
őrölt bölény nyersen,124,6.1,0.099,17.2
strucclegyező nyersen,99,2.3,0.0,18.5
strucc felső karaj nyersen,101,2.5,0.0,18.4
borjúagy főtt,461,32.6,0.0,38.9
borjúnyelv főtt,515,25.8,0.0,65.9
marhaszív főtt,47,1.3,0.057,8.1
pulykamáj főtt,100,4.3,0.0,14.3
borjúcsecsemőmirigy főtt,35,0.9,0.0,6.4
marhaagy főtt,688,55.6,0.0,44.1
marha hasnyálmirigy főtt,602,38.2,0.0,60.2
marhapacal főtt,80,3.4,1.7,10.0
csirke zúza főtt,223,3.9,0.0,44.1
sertés hasnyálmirigy főtt,537,26.5,0.0,69.8
marhanyelv főtt,80,6.3,0.0,5.5
bárányszív főtt,353,15.1,3.7,47.7
marha lép főtt,447,12.9,0.0,77.3
borjúvese főtt,300,10.4,0.0,48.4
csirkeszív főtt,268,11.5,0.1,38.3
báránynyelv főtt,701,51.7,0.0,55.0
borjúszív főtt,368,13.4,0.3,57.7
csirkemáj főtt,76,2.8,0.5,11.3
bárány hasnyálmirigy főtt,541,34.9,0.0,52.7
borjúlép főtt,445,10.0,0.0,83.1
báránymáj főtt,739,29.6,8.5,102.7
pulyka zúza főtt,70,2.1,0.0,11.9
lámpalép főtt,460,14.1,0.0,78.1
pulykaszív főtt,35,1.5,0.0,5.0
marhamáj főtt,130,3.6,3.5,19.8
báránytüdő főtt,431,11.8,0.0,75.7
sertésagy főtt,527,36.3,0.0,46.4
libamáj,125,4.0,5.9,15.4
sertésvese főtt,211,6.6,0.0,35.6
bárányagy főtt,503,35.3,0.0,43.5
sertésszív főtt,215,7.3,0.6,34.2
bárányvese főtt,349,9.2,2.5,60.3
marhatüdő főtt,364,11.2,0.0,61.8
borjú hasnyálmirigy főtt,614,35.0,0.0,69.8
sertésmáj főtt,584,15.6,13.3,92.1
marhavese főtt,45,1.3,0.0,7.7
pulykabél főtt,164,6.3,0.0,25.1
kacsamáj nyersen,60,2.0,1.6,8.2
borjúmáj főtt,154,5.0,3.0,22.7
sertés tüdő főtt,297,9.3,0.0,49.8
borjútüdő főtt,312,7.9,0.0,56.2
marha csecsemőmirigy főtt,1215,95.2,0.0,83.2
sonka,46,2.5,1.0,4.6
sertéshús főtt,283,14.1,0.0,14.1
bacon sült,43,3.3,0.1,3.0
sertés felső karaj sültek nyersen,3644,182.8,0.0,468.4
sertéspenge tekercs nyersen,76,6.2,0.0,4.7
sertéshát nyersen,2399,174.9,0.0,204.2
sertésborda főtt,703,53.6,0.0,51.4
sertés gyomor főtt,44,2.1,0.029,6.1
mézes füstölt sonka főtt,67,1.3,4.0,9.9
boston butt steak nyersen,844,56.1,0.0,79.0
sertés hátszín karaj főtt,140,4.5,0.0,23.3
sertés country stílusú tarja nyersen,242,15.1,0.0,24.8
sonkás pogácsákat,205,18.3,1.1,8.3
sertésláb főtt,67,4.5,0.0,6.2
őrölt sertéshús főtt,930,65.0,0.0,80.4
sertés karaj karaj főtt,328,17.4,0.0,40.2
sertéscomb sapka steak főtt,307,8.6,0.0,53.5
sertéspenge karaj nyersen,376,15.4,0.0,55.8
sertés szűzpecsenye nyersen,606,17.8,0.0,104.3
sertés hátszín karaj nyersen,1090,23.3,0.0,205.5
sertéscomb sapka steak nyersen,284,7.8,0.0,50.0
sertés hasított nyersen,1706,159.1,0.0,63.1
sertés lép főtt,446,9.6,0.0,84.3
apróra vágott sonkát,50,2.9,1.2,4.6
sertés karaj karaj nyersen,338,18.0,0.0,41.2
sertéskaraj főtt,265,14.6,1.1,32.4
boston butt steak főtt,494,32.7,0.0,46.4
sertéshús nyersen,179,18.6,0.0,2.6
sertés felső karaj karaj nyersen,287,12.8,0.0,39.9
sertéspenge steak párolt,694,44.7,0.087,68.2
sertés boston steak főtt,438,28.1,0.0,43.2
bacon főtt,43,3.1,0.068,3.5
pácolt sertés csánk,48,3.0,0.0,5.4
sertés boston sült főtt,705,49.4,0.0,60.5
kanadai stílusú bacon grillezett,43,2.0,0.3,5.7
sonkás steak,70,2.4,0.0,11.1
sertéshús,3683,402.3,0.0,13.2
bacon sült,44,3.5,0.1,2.9
sertéskar piknik nyersen,5298,343.4,0.0,513.6
sós sertéshús nyersen,212,22.8,0.0,1.4
sertés kar piknik főtt,5292,322.7,0.0,560.3
sertés felső karaj karaj főtt,270,11.2,0.0,39.4
őrölt sertéshús nyersen,329,26.5,0.0,21.1
sertés lapocka nyersen,1070,81.6,0.0,77.9
sertés csilingelő főtt,66,5.8,0.0,3.5
sertés reggeli csíkok főtt,52,4.1,0.1,3.3
sertéspengetekercs sült,1079,88.3,1.4,65.0
sertés farok főtt,1089,98.5,0.0,46.8
sertés középső tarja sültek nyersen,275,9.7,0.0,44.0
sertés középső tarja sültek sült,1942,114.9,0.0,211.3
darált sonkát,55,4.3,0.4,3.4
sonka sült,316,21.3,0.6,28.7
sertés karaj nyersen,232,14.7,0.0,23.1
sertés hátborda sült,2564,188.9,0.0,202.0
sertéshas nyersen,2350,240.5,0.0,42.4
sonka nyersen,266,18.2,0.046,23.8
sonka extra sovány,45,2.3,0.6,5.1
sertésláb pácolt,635,45.5,0.029,52.8
sertés lapocka főtt,394,28.9,0.0,31.4
sertés felső karaj sültek sült,1628,74.8,0.0,224.3
sertésbőr,154,8.9,0.0,17.3
sertés vidéki tarja főtt,235,15.2,0.0,22.8
sertéspenge steak nyersen,664,43.7,0.6,67.6
sertés szűzpecsenye főtt,153,6.2,0.0,22.7
sertés karaj főtt,213,12.1,0.0,24.2
sertésfül főtt,184,12.0,0.2,17.7
sertésnyelv főtt,626,43.0,0.0,55.7
sertésborda nyersen,3593,303.5,0.0,200.6
sonkás pogácsák grillezve,205,18.5,1.0,8.0
csirke bőr sült,508,45.6,0.0,22.8
pulykamell nyersen,3554,158.9,0.0,495.6
őrölt pulyka nyersen,169,8.7,0.0,22.4
csirkeszárny főtt,52,3.5,0.0,4.8
pulykasült sült,209,7.8,4.1,28.8
fácánhús nyersen,1448,74.3,0.0,181.6
csirke hát nyersen,188,17.0,0.0,8.3
csirkehát főtt,93,6.5,0.0,8.0
csirkecomb sült,431,25.5,13.8,34.4
csirkecomb főtt,975,66.2,0.9,88.0
pulyka steak rántva,179,10.8,10.9,9.1
pulyka taco hús főtt,271,13.9,5.5,30.7
csirkecomb nyersen,736,54.9,0.6,56.3
csirkehús nyersen,1978,138.6,0.0,171.1
csirkenyak főtt,94,6.9,0.0,7.5
csirkecomb sült,193,11.3,6.0,15.8
fürjtojás,14,1.0,0.08,1.2
kacsahús főtt,472,39.7,0.0,26.6
csirkeszárny sült,216,14.3,0.0,20.2
fürjhús főtt,1028,63.9,0.0,113.7
libahús főtt,427,30.7,0.0,35.2
csirkemell főtt,114,4.5,0.0,17.3
csirkenyak nyersen,149,13.1,0.0,7.0
kacsatojás,130,9.6,1.0,9.0
fácánmell nyersen,484,11.8,0.0,88.7
kacsahús nyersen,5123,498.8,0.0,145.7
tök hús nyersen,585,47.4,0.0,36.8
csirkecomb nyersen,211,12.4,0.1,23.4
pulykahús sült,284,11.1,0.031,42.8
csirkemell nyersen,299,16.1,0.0,36.3
darált csirke főtt,474,27.4,0.0,58.4
pulykaszárny főtt,426,23.1,0.0,50.9
libahús nyersen,6077,550.7,0.0,259.8
pulykamell sült,3266,128.0,0.0,496.1
csirke fajita csíkok,13,0.5,0.2,1.7
ropogós csirkecsíkok tyson,145,6.0,0.0,0.0
