"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Társastánc, lassú",177,211,245,279,0.61742672238806
"Társastánc, gyorsan",325,387,449,512,1.13262599402985
"Futás, 5 mph (12 perc mérföld)",472,563,654,745,1.64782526567164
"Futás, 5,2 mérföld/óra (11,5 perc mérföld)",531,633,735,838,1.85295717014925
"Futás, 6 mph (10 perc mérföld)",590,704,817,931,2.05944308059702
"Futás, 6,7 mérföld/óra (9 perc mérföld)",649,774,899,1024,2.2652519880597
"Futás, 7 mph (8,5 perc mérföld)",679,809,940,1070,2.36815644179104
"Futás, 7,5 mph (8 perc mérföld)",738,880,1022,1163,2.57464235223881
"Futás, 8 mérföld/óra (7,5 perc mérföld)",797,950,1103,1256,2.77977425671642
"Futás, 8,6 mérföld/óra (7 perc mérföld)",826,985,1144,1303,2.88267871044776
"Futás, 9 mérföld/óra (6,5 perc mérföld)",885,1056,1226,1396,3.08916462089552
"Futás, 10 mérföld/óra (6 perc mérföld)",944,1126,1308,1489,3.29497352835821
"Futás, 10,9 mérföld/óra (5,5 perc mérföld)",1062,1267,1471,1675,3.70659134328358
"Futás, terepfutás",531,633,735,838,1.85295717014925
"Futás, tábornok",472,563,654,745,1.64782526567164
"Futás, pályán, csapatgyakorlat",590,704,817,931,2.05944308059702
"Futás, lépcső, fel",885,1056,1226,1396,3.08916462089552
"Atlétika (lövés, diszkosz)",236,281,327,372,0.823235629850746
"Atlétika (magasugrás, rúdugrás)",354,422,490,558,1.23485344477612
Atlétika (akadályfutás),590,704,817,931,2.05944308059702
Íjászat,207,246,286,326,0.721008179104478
Tollaslabda,266,317,368,419,0.927494089552239
"Kosárlabda meccs, verseny",472,563,654,745,1.64782526567164
"Kosárlabda, nem játék",354,422,490,558,1.23485344477612
"Kosárlabda, játékvezető",413,493,572,651,1.44133935522388
"Kosárlabda, lövő kosarak",266,317,368,419,0.927494089552239
"Kosárlabda, kerekesszék",384,457,531,605,1.33843490149254
"Futás, edzés, tolószéket tolni",472,563,654,745,1.64782526567164
Biliárd,148,176,204,233,0.515199271641791
Bowling,177,211,245,279,0.61742672238806
"Boksz, ringben",708,844,981,1117,2.47106089552239
"Boksz, boxzsák",354,422,490,558,1.23485344477612
"Ökölvívás, sparring",531,633,735,838,1.85295717014925
"Edző: foci, kosárlabda, foci…",236,281,327,372,0.823235629850746
"Krikett (ütő, teke)",295,352,409,465,1.02972154029851
Krokett,148,176,204,233,0.515199271641791
Curling,236,281,327,372,0.823235629850746
Darts (fal vagy pázsit),148,176,204,233,0.515199271641791
Vívás,354,422,490,558,1.23485344477612
"Labdarúgás, versenyképes",531,633,735,838,1.85295717014925
"Labdarúgás, érintés, zászló, tábornok",472,563,654,745,1.64782526567164
"Labdarúgás vagy baseball, fogás",148,176,204,233,0.515199271641791
"Frizbi, tábornok",177,211,245,279,0.61742672238806
"Frizbi, végső frizbi",472,563,654,745,1.64782526567164
"Golf, tábornok",266,317,368,419,0.927494089552239
"Golf, séta és ütőhordás",266,317,368,419,0.927494089552239
"Golf, driving range",177,211,245,279,0.61742672238806
"Golf, minigolf",177,211,245,279,0.61742672238806
"Golf, séta és húzóütők",254,303,351,400,0.885519904477612
"Golf, erőkocsival",207,246,286,326,0.721008179104478
Torna,236,281,327,372,0.823235629850746
Hacky zsák,236,281,327,372,0.823235629850746
Kézilabda,708,844,981,1117,2.47106089552239
"Kézilabda, csapat",472,563,654,745,1.64782526567164
"Jégkorong, pályás hoki",472,563,654,745,1.64782526567164
"Jégkorong, jégkorong",472,563,654,745,1.64782526567164
"Lovaglás, tábornok",236,281,327,372,0.823235629850746
"Lovaglás, nyerges ló",207,246,286,326,0.721008179104478
"Lovaglás, lóápolás",207,246,286,326,0.721008179104478
"Lovaglás, ügetés",384,457,531,605,1.33843490149254
"Lovaglás, gyaloglás",148,176,204,233,0.515199271641791
"Lóverseny, vágta",472,563,654,745,1.64782526567164
"Lóápolás, mérsékelt",354,422,490,558,1.23485344477612
Patkódobás,177,211,245,279,0.61742672238806
Jai alai,708,844,981,1117,2.47106089552239
"Harcművészet, judo, karate, jujitsu",590,704,817,931,2.05944308059702
"Harcművészet, kick box",590,704,817,931,2.05944308059702
"Harcművészetek, tae kwan do",590,704,817,931,2.05944308059702
Krav maga képzés,590,704,817,931,2.05944308059702
Zsonglőrködés,236,281,327,372,0.823235629850746
Kickball,413,493,572,651,1.44133935522388
Lacrosse,472,563,654,745,1.64782526567164
Tájékozódás,531,633,735,838,1.85295717014925
Padleball játék,354,422,490,558,1.23485344477612
"Paddleball, versenyképes",590,704,817,931,2.05944308059702
Póló,472,563,654,745,1.64782526567164
"Rakettlabda, versenyképes",590,704,817,931,2.05944308059702
Rakettlabdázás,413,493,572,651,1.44133935522388
"Sziklamászás, emelkedő szikla",649,774,899,1024,2.2652519880597
"Sziklamászás, rappelling",472,563,654,745,1.64782526567164
"Ugrókötél, gyorsan",708,844,981,1117,2.47106089552239
"Ugrókötél, mérsékelt",590,704,817,931,2.05944308059702
"Ugrókötél, lassú",472,563,654,745,1.64782526567164
Rögbi,590,704,817,931,2.05944308059702
"Shuffleboard, gyep bowling",177,211,245,279,0.61742672238806
Gördeszkázás,295,352,409,465,1.02972154029851
Görkorcsolya,413,493,572,651,1.44133935522388
"Görkorcsolya, sorkorcsolya",708,844,981,1117,2.47106089552239
Égbolt búvárkodás,177,211,245,279,0.61742672238806
"Foci, verseny",590,704,817,931,2.05944308059702
Focizni,413,493,572,651,1.44133935522388
Softball vagy baseball,295,352,409,465,1.02972154029851
"Softball, játékvezető",236,281,327,372,0.823235629850746
"Softball, dobás",354,422,490,558,1.23485344477612
Squash,708,844,981,1117,2.47106089552239
"Asztalitenisz, ping-pong",236,281,327,372,0.823235629850746
Tai chi,236,281,327,372,0.823235629850746
Teniszezni,413,493,572,651,1.44133935522388
"Tenisz, páros",354,422,490,558,1.23485344477612
"Tenisz, egyéni",472,563,654,745,1.64782526567164
Trambulin,207,246,286,326,0.721008179104478
"Röplabda, versenyszerűen",472,563,654,745,1.64782526567164
Röplabdázás,177,211,245,279,0.61742672238806
"Röplabda, strand",472,563,654,745,1.64782526567164
Birkózás,354,422,490,558,1.23485344477612
Wallyball,413,493,572,651,1.44133935522388
"Hátizsákkal, Túrázás csomaggal",413,493,572,651,1.44133935522388
"Csecsemőhordás, sík talajon",207,246,286,326,0.721008179104478
"Csecsemőhordás, az emeleten",295,352,409,465,1.02972154029851
"16-24 lbs szállítása, az emeleten",354,422,490,558,1.23485344477612
"25-49 font cipelés, az emeleten",472,563,654,745,1.64782526567164
"Állás, játék gyerekekkel, fény",165,197,229,261,0.576806543283582
"Séta/futás, játék gyerekekkel, mérsékelten",236,281,327,372,0.823235629850746
"Sétáljon/fusson, játsszon gyerekekkel, lendületesen",295,352,409,465,1.02972154029851
Kisgyermekek szállítása,177,211,245,279,0.61742672238806
"Be-, kirakodás autó",177,211,245,279,0.61742672238806
"Hegymászás, akár 9 kg-os teherbírás",413,493,572,651,1.44133935522388
"Hegymászás, 10-20 font cipelése",443,528,613,698,1.5449208119403
"Hegymászás, 21-42 lb",472,563,654,745,1.64782526567164
"Hegymászás, több mint 42 lb",531,633,735,838,1.85295717014925
Séta a földszinten,177,211,245,279,0.61742672238806
"Túrázás, terepfutás",354,422,490,558,1.23485344477612
Madármegfigyelés,148,176,204,233,0.515199271641791
"Menetelés, gyorsan, katonai",384,457,531,605,1.33843490149254
"Gyerekjátékok, ugrás, dodgeball",295,352,409,465,1.02972154029851
Babakocsit tolni vagy gyerekekkel sétálni,148,176,204,233,0.515199271641791
Tolószéket tolni,236,281,327,372,0.823235629850746
Versenyjárás,384,457,531,605,1.33843490149254
"Sziklamászás, hegymászás",472,563,654,745,1.64782526567164
Séta mankóval,295,352,409,465,1.02972154029851
A kutya sétáltatása,177,211,245,279,0.61742672238806
"Séta, 2,0 mph alatt, nagyon lassú",118,141,163,186,0.411617814925373
"Séta 2,0 mph, lassú",148,176,204,233,0.515199271641791
"2,5 mph gyaloglás",177,211,245,279,0.61742672238806
"Gyalog 3,0 mph, mérsékelt",195,232,270,307,0.679710997014925
"Gyaloglás 3,5 mph, gyors tempó",224,267,311,354,0.782615450746269
"3,5 mph gyaloglás, felfelé",354,422,490,558,1.23485344477612
"Séta 4,0 mph, nagyon lendületes",295,352,409,465,1.02972154029851
"Séta 4,5 mph",372,443,515,586,1.29713771940299
"5,0 mph gyaloglás",472,563,654,745,1.64782526567164
"Csónakázás, motorcsónak, motorcsónak",148,176,204,233,0.515199271641791
"Kenu, táborozás",236,281,327,372,0.823235629850746
"Kenu, evezés, könnyű",177,211,245,279,0.61742672238806
"Kenu, evezés, mérsékelt",413,493,572,651,1.44133935522388
"Kenu, evezés, lendületes",708,844,981,1117,2.47106089552239
"Legénység, evezés, evezés, verseny",708,844,981,1117,2.47106089552239
Kajakozás,295,352,409,465,1.02972154029851
Vízibicikli,236,281,327,372,0.823235629850746
"Szörf, vitorlázás",177,211,245,279,0.61742672238806
"Vitorlázás, verseny",295,352,409,465,1.02972154029851
"Vitorlázás, vitorlázás, óceáni vitorlázás",177,211,245,279,0.61742672238806
"Síelés, vízisí",354,422,490,558,1.23485344477612
Símobilozás,413,493,572,651,1.44133935522388
"Bőrbúvárkodás, gyors",944,1126,1308,1489,3.29497352835821
"Bőrbúvárkodás, mérsékelt",738,880,1022,1163,2.57464235223881
"Bőrbúvárkodás, búvárkodás",413,493,572,651,1.44133935522388
Sznorkelezés,295,352,409,465,1.02972154029851
"Szörfözés, testszörfözés vagy szörfözés",177,211,245,279,0.61742672238806
"Vadvízi evezés, kajakozás, kenu",295,352,409,465,1.02972154029851
"Úszó körök, szabadfogás, gyors",590,704,817,931,2.05944308059702
"Úszó körök, szabadfogás, lassú",413,493,572,651,1.44133935522388
Úszás hátúszás,413,493,572,651,1.44133935522388
Úszás mellúszás,590,704,817,931,2.05944308059702
Úszó pillangó,649,774,899,1024,2.2652519880597
"Nyugodt úszás, nem kör",354,422,490,558,1.23485344477612
Úszás oldalúszás,472,563,654,745,1.64782526567164
Úszás szinkronizált,472,563,654,745,1.64782526567164
"Úszás, víztaposás, gyors, lendületes",590,704,817,931,2.05944308059702
"Úszás, víztaposás, mérsékelt",236,281,327,372,0.823235629850746
"Vízi aerobik, vízi torna",236,281,327,372,0.823235629850746
Vízilabda,590,704,817,931,2.05944308059702
Vízi röplabda,177,211,245,279,0.61742672238806
Vízi kocogás,472,563,654,745,1.64782526567164
"Búvárkodás, ugródeszka vagy platform",177,211,245,279,0.61742672238806
"Korcsolya, < 9 mph",325,387,449,512,1.13262599402985
"Korcsolyázás, átlagos sebesség",413,493,572,651,1.44133935522388
"Korcsolyázás, gyorsan",531,633,735,838,1.85295717014925
"Gyorskorcsolya, jég, verseny",885,1056,1226,1396,3.08916462089552
"Sífutás, lassú",413,493,572,651,1.44133935522388
"Sífutás, mérsékelt",472,563,654,745,1.64782526567164
"Sífutás, lendületes",531,633,735,838,1.85295717014925
"Sífutás, versenyzés",826,985,1144,1303,2.88267871044776
"Sífutás, hegymenet",974,1161,1348,1536,3.39787798208955
"Havasi síelés, lesiklás, könnyű",295,352,409,465,1.02972154029851
"Lesiklás havas síelés, mérsékelt",354,422,490,558,1.23485344477612
"Lesiklás havas síelés, versenyzés",472,563,654,745,1.64782526567164
"Szánkózás, szánkózás, szánkózás",413,493,572,651,1.44133935522388
Hócipőzés,472,563,654,745,1.64782526567164
Motoros szánozás,207,246,286,326,0.721008179104478
Általános házimunka,207,246,286,326,0.721008179104478
Ereszcsatornák tisztítása,295,352,409,465,1.02972154029851
Festés,266,317,368,419,0.927494089552239
"Ülj le, játssz az állatokkal",148,176,204,233,0.515199271641791
"Sétálj / fuss, játssz az állatokkal",236,281,327,372,0.823235629850746
Fürdő kutya,207,246,286,326,0.721008179104478
"Fűnyírás, séta, motoros fűnyíró",325,387,449,512,1.13262599402985
"Fűnyírás, motoros fűnyíró",148,176,204,233,0.515199271641791
"Séta, hómaró",207,246,286,326,0.721008179104478
"Lovaglás, hómaró",177,211,245,279,0.61742672238806
Kézi hólapátolás,354,422,490,558,1.23485344477612
Gyep gereblyézése,254,303,351,400,0.885519904477612
"Kertész, tábornok",236,281,327,372,0.823235629850746
"Zsákoló fű, levelek",236,281,327,372,0.823235629850746
Pázsit vagy kert öntözése,89,106,123,140,0.310067367164179
"Gyomlálás, kert művelése",266,317,368,419,0.927494089552239
"Ács, tábornok",207,246,286,326,0.721008179104478
Nehéz terhek szállítása,472,563,654,745,1.64782526567164
Mérsékelt terhek szállítása az emeleten,472,563,654,745,1.64782526567164
Általános tisztítás,207,246,286,326,0.721008179104478
"Tisztítás, portörlés",148,176,204,233,0.515199271641791
A szemetet kivinni,177,211,245,279,0.61742672238806
"Séta, tolószéket tolni",236,281,327,372,0.823235629850746
"Testnevelés, testmozgás tanítása",236,281,327,372,0.823235629850746
